movieId,actorId,character
2820,666835,Archibald Carlyle
2820,604658,Captain Levison
2822,1889693,Robert Travers
2822,377832,Boss John Kelly
2823,491134,
2823,519765,
2823,585785,
2832,137403,Gabriel
2832,838052,Father Felician
2832,607074,Basil
2832,360373,Benedict
2833,585785,Oberst a.D. von Wentheim
2833,2828208,Addison - Ingenieur
2833,170183,
2833,239982,Willy Körner
2833,1892090,Frau von Wentheim
2833,477996,Vater Worpitzky
2844,622772,FantômasGurn
2844,107631,Inspector Juve
2844,577476,Jérôme Fandor journaliste à La Capitale
2859,319498,Detective Delaney
2859,440059,Darwin Russell
2859,505354,Sorenti
2859,668116,
2859,642190,
2885,755331,
2885,191890,Dan
2885,201679,Dans lawyer
2885,7424995,
2885,7424999,
2885,516166,
2888,674398,Fulano de Tal
2888,535522,Fotografo
2888,957985,
2889,243614,Capitaine Hurtulet
2889,746008,Le général
2889,332182,Ladjudant Flick
2889,217606,
2889,299674,
2889,1979952,
2898,617787,Maheu
2898,415241,Chaval
2898,470307,Etienne Lautier
2901,604679,Henry Searelle
2901,1919060,
2901,1922846,
2901,3664514,Mose
2916,17629,Baron von Bärfeld
2916,1945570,Hermann de Bernouilly
2916,956272,Bankier Hausmann
2917,253307,Farmhand
2917,96783,Sumi
2917,251622,Ivan
2917,252476,Alexei Potowski
2922,722502,The Ghost
2922,727615,Claudius
2922,285425,Hamlet
2922,177548,Horatio
2922,55630,Polonius
2922,779936,Laertes
2975,133684,Mehmed Pacha
2975,350759,Le marquis de Sévigné
2975,498833,Le prince Cernuwitz
2975,869559,Sir Falkland
2975,906197,
2978,57482,Jack Yeulett
2978,330280,Tom the Romany
2987,789401,Lev Tolstoy
2987,848483,Turgenev
2996,617242,Zsemle István budai füszeres
2996,844227,Jávorka kishivatalnok
3002,1267460,
3002,79813,
3002,5087284,
3002,159886,
3006,608971,The Bishop
3006,908390,Tom Dorgan
3006,676473,Obermuller
3008,392059,Stewart Warner
3008,728289,Rev. Mr. Milton
3008,394182,Marys Fiance
3014,526234,Doctor
3014,511806,Sven Holm - Older Eric Holm
3014,511903,Employee in Shop
3014,344981,Poorhouse Superintendant
3014,489296,Police Officer
3015,441259,
3015,203452,
3015,225905,Gutmuetige VaterMeergott
3015,389364,Vertraeumter Juengling
3022,7215,Wilfred of Ivanhoe
3022,107543,Isaac of York
3037,622772,FantômasDr ChaleckLe Loupart
3037,107631,Inspector Juve
